번호,유니코드,십진코드,설명,도형
337,0x27A9,10153,RIGHT-SHADED WHITE RIGHTWARDS ARROW,➩
338,0x27AA,10154,LEFT-SHADED WHITE RIGHTWARDS ARROW,➪
339,0x27AB,10155,BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW,➫
340,0x27AC,10156,FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW,➬
341,0x27AD,10157,HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➭
342,0x27AE,10158,HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➮
343,0x27AF,10159,NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➯
344,0x27B1,10161,NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➱
345,0x27B2,10162,CIRCLED HEAVY WHITE RIGHTWARDS ARROW,➲
346,0x27B3,10163,WHITE-FEATHERED RIGHTWARDS ARROW,➳
347,0x27B4,10164,BLACK-FEATHERED SOUTH EAST ARROW,➴
348,0x27B5,10165,BLACK-FEATHERED RIGHTWARDS ARROW,➵
349,0x27B6,10166,BLACK-FEATHERED NORTH EAST ARROW,➶
350,0x27B7,10167,HEAVY BLACK-FEATHERED SOUTH EAST ARROW,➷
351,0x27B8,10168,HEAVY BLACK-FEATHERED RIGHTWARDS ARROW,➸
352,0x27B9,10169,HEAVY BLACK-FEATHERED NORTH EAST ARROW,➹
353,0x27BA,10170,TEARDROP-BARBED RIGHTWARDS ARROW,➺
354,0x27BB,10171,HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW,➻
355,0x27BC,10172,WEDGE-TAILED RIGHTWARDS ARROW,➼
356,0x27BD,10173,HEAVY WEDGE-TAILED RIGHTWARDS ARROW,➽
357,0x27BE,10174,OPEN-OUTLINED RIGHTWARDS ARROW,➾
